record_id,race_year,race_round,session,race_key,snapshot_index,time_offset_ms,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,wind_speed_ms,is_raining
632e1ed430da2d565765470119bf5b83783ce7d8,2024,1,FP3,2024_1,32,1969919,20.2,32.2,35.0,1017.8,3.0,false
7eec7a57c2072a68b778db9c65b6b3abe1cba3f6,2024,1,FP3,2024_1,50,3050051,20.3,31.3,38.0,1017.8,3.3,false
f2f509cd53c33e075f4664164b3fc35dcc62deaa,2024,1,FP3,2024_1,71,4310120,19.9,29.8,40.0,1017.9,3.1,false
02755fb40e0aa42c28d8de5470ca42c23731bf72,2024,1,Q,2024_1,1,75661,18.1,22.2,48.0,1018.8,2.9,false
29441844ead9dcb67aed820455c6891d5c1a41b1,2024,1,Q,2024_1,9,555662,18.1,22.0,48.0,1018.8,2.5,false
34042183db6a3dcd6ffa374bdc1fa3b99893bc02,2024,1,Q,2024_1,25,1515659,18.2,21.8,47.0,1019.0,2.2,false
9826fabe1db4c317b1343b59a44708c1d9aec328,2024,1,Q,2024_1,36,2175676,18.2,21.7,47.0,1019.1,2.6,false
61f18933e759a1e3eebc8fb48f37adb3e8955632,2024,1,Q,2024_1,55,3315822,18.0,21.3,46.0,1019.2,1.1,false
8e8f68b042b6c0533244e462d18e5683bc7fd242,2024,1,Q,2024_1,61,3675853,17.9,21.1,47.0,1019.2,1.8,false
ace3e2f7a065b9a974610d4be5a746ab51b109b9,2024,1,Q,2024_1,65,3915885,17.9,21.1,47.0,1019.2,1.2,false
